Type,Model,1941,1942,1943,1944,1945
Very Heavy Bombers,,,,,,
,    B29,               ,"   897,730",               ,"   605,360","   509,465"
Heavy Bombers,    B17,,,,,
,    B24,"301,221","258,949",,"204,370","187,742"
,    B32,"379,162","304,391",,"215,516",
,    B25,,"790,433",,"790,433",
Medium Bombers,    B26,,,,,
,    A20,"180,031","153,396","151,894","142,194","116,752"
,    A26,"261,062","239,655","212,932","192,427",
Light Bombers,    A28,,,,,
,    A29,"136,813","124,254","110,324","100,800",
,    A30,"224,498",,"254,624","192,457","175,892"
,    P38,,"118,704",,,
,    P39,,"118,080",,,
,    P40,,"155,570","151,017",,
Fighters,    P47,,,,,
,    P51,"132,284","120,407","105,567","97,147",
,    P59,"77,159","69,534",,"50,666",
,    P61,"60,562","59,444","49,449","44,892",
,    P63,"113,246","105,594","104,258","85,578","83,001"
,    P70,,"58,698","58,824","51,572","50,985"
,    P80,,,,"236,299",
,    OA10,"649,584","245,327","180,711",,"199,598"
,    C43,,"60,277","57,379","59,966","65,914"
,    C45,"143,076",,,,
,    C46,,,,"109,471","71,840"
Reconnaissance,    C47,,,,,
,    C53,"222,799",,,"216,617","207,541"
Transports,    C54,,,,,
,    C60,,"49,524","27,342","27,332",
,    C61,"67,743",,"66,189","52,507","48,830"
,    UC64,"341,831","314,700","259,268","233,377","221,550"
,    C69,"128,761","109,696","92,417","88,574","85,035"
,    C74,"1,366,999","143,479","150,470",,
,    C78,"516,553","370,492","400,831","285,113","259,816"
,    C82,,"126,881","113,168",,
,    C87,,"12,208","13,057","15,973",
,"    PT13, PT17, PT27",,,"36,811","35,264","32,427"
,"    PT19, PT23, PT26",,,"605,456",,
,"    BT13, BT15",,"1,213,445",,,
,    AT6,,"27,470","33,797",,
,"    AT7, AT11",,,,"478,549","310,233"
,"    AT8, AT17",,,,"208,780",
Trainers,    AT9,,,,,
,    AT10,"10,022","9,896",,,
,    AT16,"9,710","12,911","11,100","15,052",
,    AT19,"25,035","23,068",,,
,    AT21,"29,423","25,672",,"22,952",
,    L1,"76,827","85,688","68,441",,
,    L2,"41,701","34,323",,,
,    L3,"44,321","44,392",,,
,    L4,"43,501","42,688",,,
,    L5,,"27,564","27,416",,
,    L6,,"26,574","22,496",,
,    R4,,"92,295",,,
Communications,"    R5, TR5",,,,,
,    R6,"25,419",,,,
,,,"2,770","2,916",,
,,,"2,236","2,460",,
,,,"2,432","2,437","2,620","2,701"
,,,"10,165",,"9,704","8,323"
,,,,"6,065",,
,,,,"43,584",,
,,,,"59,488","50,950",
,,,,"47,635",,
